Day,Exercise,Sets,Reps,RPE,Focus/Tempo
Петък,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Активно възстановяване, подобряване на сърдечно-съдовата система и изгаряне на мазнини при нисък стрес върху ставите. Инструкции: Ниска до умерена интензивност, постоянно темпо (LISS). Фокусирайте се върху техниката на дишане и плавността на движенията."
Петък,Леко към умерено плуване,N/A,"30-45 минути",N/A,""
Събота,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Максимално изгаряне на калории, подобряване на анаеробния капацитет и метаболитен стрес. Инструкции: Интервална тренировка (HIIT). Загрявка 5-10 мин, след това редуване на 1 дължина спринт (~90% усилие) с 2 дължини много бавно, възстановително плуване. Разпускане 5 мин."
Събота,Интензивно плуване (Интервали),N/A,"15-20 минути",N/A,""
Неделя,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Финално изчерпване на гликогена преди глада. Инструкции: Кръгова тренировка. Изпълнявайте упражненията едно след друго с 15-20 сек. почивка. След края на кръга, починете 90-120 сек. Направете общо 3-4 кръга."
Неделя,1. Клекове с дъмбел (Goblet Squats) - Кръгова,3-4,12-15,8,"Дръжте темпото високо, но с добра форма. Това е за краката и ядрото."
Неделя,2. Лицеви опори (Push-ups) - Кръгова,3-4,До отказ,10,"Ако са твърде лесни, вдигнете краката на пейка. Ако са трудни, правете ги от колене."
Неделя,3. Гребане с дъмбели от наклон (Bent-Over Rows) - Кръгова,3-4,12-15,8-9,"Дръжте гърба изправен. Дърпайте дъмбелите към таза, като събирате лопатките."
Неделя,4. Раменни преси с дъмбели в стоеж - Кръгова,3-4,10-12,9,"Използвайте краката за лек начален тласък (Push Press), за да поддържате интензивността."
Неделя,5. Суингове с дъмбел/пудовка (Swings) - Кръгова,3-4,20-25,9,"Това е метаболитният ви финишър. Движението идва от таза, не от ръцете. Стегнете корема и седалището."
Неделя,СГЪВАНЕ НА КОРЕМ НА СКРИПЕЦ (Cable Crunches) - Финишър за корем,3,12-15,9-10,"Изпълнява се СЛЕД края на всички кръгове. Използвайте въже. Фокусирайте се върху сгъването на торса, като доближавате ребрата към таза. Не дърпайте с ръце."
